algorithm,iterations,global
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,1,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,50,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,100,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,150,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,200,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,300,2638.6207188466865
SA75,400,2638.6207188466865
SA75,400,2638.6207188466865
SA75,400,2638.6207188466865
SA75,400,2638.6207188466865
SA75,400,2638.6207188466865
