algorithm,iterations,functions
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,1,151
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,50,2601
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,100,5101
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,150,7601
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,200,10101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,300,15101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,400,20101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,500,25101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,600,30101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,700,35101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,800,40101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,900,45101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,1000,50101
