algorithm,value,iterations
SA-Optimal,1.0,25
SA-Optimal,0.0,10
SA-Optimal,1.0,500
SA-Optimal,2.0,10
SA-Optimal,0.0,500
SA-Optimal,0.0,10
SA-Optimal,1.0,25
SA-Optimal,0.0,25
SA-Optimal,2.0,500
SA-Optimal,2.0,500
SA-Optimal,8.0,1000
SA-Optimal,7.0,1000
SA-Optimal,11.0,1000
SA-Optimal,1.0,500
SA-Optimal,20.0,1000
SA-Optimal,4.0,500
SA-Optimal,3.0,500
SA-Optimal,50.0,1000
SA-Optimal,8.0,1000
SA-Optimal,37.0,1000
SA-Optimal,4.0,200
SA-Optimal,55.0,1000
SA-Optimal,37.0,1000
SA-Optimal,19.0,1000
SA-Optimal,1.0,500
SA-Optimal,15.0,1000
SA-Optimal,4.0,500
SA-Optimal,2.0,10
SA-Optimal,37.0,1000
SA-Optimal,1.0,10
SA-Optimal,2.0,200
SA-Optimal,0.0,10
SA-Optimal,2.0,100
SA-Optimal,13.0,1000
SA-Optimal,0.0,50
SA-Optimal,2.0,100
SA-Optimal,0.0,50
SA-Optimal,4.0,25
SA-Optimal,3.0,100
SA-Optimal,2.0,500
SA-Optimal,2.0,100
SA-Optimal,1.0,25
SA-Optimal,4.0,500
SA-Optimal,1.0,100
SA-Optimal,1.0,200
SA-Optimal,3.0,500
SA-Optimal,0.0,50
SA-Optimal,3.0,100
SA-Optimal,0.0,50
SA-Optimal,15.0,1000
SA-Optimal,3.0,200
SA-Optimal,1.0,500
SA-Optimal,1.0,200
SA-Optimal,1.0,50
SA-Optimal,2.0,200
SA-Optimal,4.0,200
SA-Optimal,2.0,200
SA-Optimal,0.0,200
SA-Optimal,4.0,200
SA-Optimal,4.0,200
SA-Optimal,1.0,200
SA-Optimal,2.0,500
SA-Optimal,2.0,500
SA-Optimal,0.0,100
SA-Optimal,1.0,200
SA-Optimal,1.0,200
SA-Optimal,16.0,1000
SA-Optimal,12.0,1000
SA-Optimal,4.0,500
SA-Optimal,3.0,100
SA-Optimal,1.0,200
SA-Optimal,6.0,100
SA-Optimal,2.0,100
SA-Optimal,1.0,200
SA-Optimal,0.0,200
SA-Optimal,6.0,500
SA-Optimal,1.0,100
SA-Optimal,7.0,500
SA-Optimal,0.0,25
SA-Optimal,8.0,1000
SA-Optimal,2.0,500
SA-Optimal,0.0,200
SA-Optimal,1.0,25
SA-Optimal,16.0,1000
SA-Optimal,7.0,1000
SA-Optimal,3.0,1000
SA-Optimal,37.0,1000
SA-Optimal,8.0,1000
SA-Optimal,9.0,1000
SA-Optimal,9.0,500
SA-Optimal,2.0,500
SA-Optimal,6.0,1000
SA-Optimal,5.0,1000
SA-Optimal,1.0,500
SA-Optimal,0.0,500
SA-Optimal,0.0,500
SA-Optimal,1.0,500
SA-Optimal,1.0,500
SA-Optimal,8.0,1000
SA-Optimal,0.0,500
SA-Optimal,25.0,500
SA-Optimal,6.0,1000
SA-Optimal,9.0,1000
SA-Optimal,37.0,1000
SA-Optimal,5.0,1000
SA-Optimal,13.0,1000
SA-Optimal,8.0,1000
SA-Optimal,65.0,1000
SA-Optimal,20.0,1000
SA-Optimal,37.0,1000
SA-Optimal,2.0,500
SA-Optimal,2.0,500
SA-Optimal,2.0,500
SA-Optimal,5.0,500
SA-Optimal,20.0,1000
SA-Optimal,6.0,1000
SA-Optimal,15.0,1000
SA-Optimal,9.0,1000
SA-Optimal,6.0,1000
SA-Optimal,4.0,500
SA-Optimal,75.0,5000
SA-Optimal,3.0,500
SA-Optimal,8.0,1000
SA-Optimal,37.0,5000
SA-Optimal,6.0,1000
SA-Optimal,75.0,5000
SA-Optimal,37.0,5000
SA-Optimal,7.0,1000
SA-Optimal,40.0,5000
SA-Optimal,37.0,5000
SA-Optimal,132.0,5000
SA-Optimal,110.0,5000
SA-Optimal,37.0,5000
SA-Optimal,113.0,5000
SA-Optimal,54.0,5000
SA-Optimal,75.0,5000
SA-Optimal,60.0,5000
SA-Optimal,144.0,5000
SA-Optimal,113.0,5000
SA-Optimal,40.0,5000
SA-Optimal,113.0,5000
SA-Optimal,52.0,5000
SA-Optimal,37.0,5000
SA-Optimal,37.0,5000
SA-Optimal,37.0,5000
SA-Optimal,75.0,5000
SA-Optimal,70.0,5000
SA-Optimal,41.0,5000
SA-Optimal,58.0,5000
SA-Optimal,37.0,5000
SA-Optimal,75.0,5000
SA-Optimal,75.0,5000
SA-Optimal,58.0,5000
SA-Optimal,50.0,5000
SA-Optimal,59.0,5000
SA-Optimal,37.0,5000
SA-Optimal,113.0,5000
SA-Optimal,113.0,5000
SA-Optimal,46.0,5000
SA-Optimal,46.0,5000
SA-Optimal,133.0,5000
SA-Optimal,41.0,5000
SA-Optimal,60.0,5000
SA-Optimal,113.0,5000
SA-Optimal,50.0,5000
SA-Optimal,113.0,5000
SA-Optimal,59.0,5000
SA-Optimal,55.0,5000
SA-Optimal,62.0,5000
SA-Optimal,37.0,5000
SA-Optimal,113.0,5000
SA-Optimal,37.0,5000
SA-Optimal,75.0,5000
